,Country,Year,Value,Resource,Metric,Price
10317,Pakistan,1970,0.104774132,Natural Gas,Production,
10318,Thailand,1970,0,Natural Gas,Production,
10319,Vietnam,1970,0,Natural Gas,Production,
10320,Other Asia Pacific,1970,0.195683231,Natural Gas,Production,
10321,Total Asia Pacific,1970,0.543659467,Natural Gas,Production,
10322,Total World,1970,35.13916834,Natural Gas,Production,
10323,of which: OECD,1970,26.08568133,Natural Gas,Production,
10324,                 Non-OECD,1970,9.053487015,Natural Gas,Production,
10325,                 European Union #,1970,3.347428974,Natural Gas,Production,
10326,Canada,1971,2.1259799,Natural Gas,Production,
10327,Mexico,1971,0.393054217,Natural Gas,Production,
10328,US,1971,21.15578079,Natural Gas,Production,
10329,Total North America,1971,23.67481491,Natural Gas,Production,
10330,Argentina,1971,0.227757558,Natural Gas,Production,
10331,Bolivia,1971,0.001507248,Natural Gas,Production,
10332,Brazil,1971,0.004634936,Natural Gas,Production,
10333,Colombia,1971,0.0468162,Natural Gas,Production,
10334,Peru,1971,0.017082451,Natural Gas,Production,
10335,Trinidad & Tobago,1971,0.067086004,Natural Gas,Production,
10336,Venezuela,1971,0.298581123,Natural Gas,Production,
10337,Other S. & Cent. America,1971,0.028073124,Natural Gas,Production,
10338,Total S. & Cent. America,1971,0.691538644,Natural Gas,Production,
10339,Denmark,1971,0,Natural Gas,Production,
10340,Germany,1971,0.532790124,Natural Gas,Production,
10341,Italy,1971,0.461527199,Natural Gas,Production,
10342,Netherlands,1971,1.389000058,Natural Gas,Production,
10343,Norway,1971,0,Natural Gas,Production,
10344,Poland,1971,0.190044895,Natural Gas,Production,
10345,Romania,1971,0.836501241,Natural Gas,Production,
10346,Ukraine,1971,0,Natural Gas,Production,
10347,United Kingdom,1971,0.655066729,Natural Gas,Production,
10348,Other Europe,1971,0.549667257,Natural Gas,Production,
10349,Total Europe,1971,4.614597502,Natural Gas,Production,
10350,Azerbaijan,1971,0,Natural Gas,Production,
10351,Kazakhstan,1971,0,Natural Gas,Production,
10352,Russian Federation,1971,0,Natural Gas,Production,
10353,Turkmenistan,1971,0,Natural Gas,Production,
10354,Uzbekistan,1971,0,Natural Gas,Production,
10355,Other CIS,1971,0,Natural Gas,Production,
10356,Total CIS,1971,7.242974758,Natural Gas,Production,
10357,Bahrain,1971,0.034122419,Natural Gas,Production,
10358,Iran,1971,0.304358393,Natural Gas,Production,
10359,Iraq,1971,0.031635001,Natural Gas,Production,
10360,Israel,1971,0.00430439,Natural Gas,Production,
10361,Kuwait,1971,0.071956798,Natural Gas,Production,
10362,Oman,1971,0,Natural Gas,Production,
10363,Qatar,1971,0.037446301,Natural Gas,Production,
10364,Saudi Arabia,1971,0.046135802,Natural Gas,Production,
10365,Syria,1971,0,Natural Gas,Production,
10366,United Arab Emirates,1971,0.051632099,Natural Gas,Production,
10367,Other Middle East,1971,0,Natural Gas,Production,
10368,Total Middle East,1971,0.581591203,Natural Gas,Production,
10369,Algeria,1971,0.092515498,Natural Gas,Production,
10370,Egypt,1971,0.00294525,Natural Gas,Production,
10371,Libya,1971,0.024213601,Natural Gas,Production,
10372,Nigeria,1971,0.0070281,Natural Gas,Production,
10373,Other Africa,1971,0.006579997,Natural Gas,Production,
10374,Total Africa,1971,0.133282447,Natural Gas,Production,
10375,Australia,1971,0.092976049,Natural Gas,Production,
10376,Bangladesh,1971,0.01604295,Natural Gas,Production,
10377,Brunei,1971,0.0076167,Natural Gas,Production,
10378,China,1971,0.135699108,Natural Gas,Production,
10379,India,1971,0.024142388,Natural Gas,Production,
10380,Indonesia,1971,0.054809999,Natural Gas,Production,
10381,Malaysia,1971,0.002983497,Natural Gas,Production,
10382,Myanmar,1971,0.000512865,Natural Gas,Production,
10383,Pakistan,1971,0.094899423,Natural Gas,Production,
10384,Thailand,1971,0,Natural Gas,Production,
10385,Vietnam,1971,0,Natural Gas,Production,
10386,Other Asia Pacific,1971,0.219774095,Natural Gas,Production,
10387,Total Asia Pacific,1971,0.649457074,Natural Gas,Production,
10388,Total World,1971,37.58825654,Natural Gas,Production,
10389,of which: OECD,1971,27.662594,Natural Gas,Production,
10390,                 Non-OECD,1971,9.925662535,Natural Gas,Production,
10391,                 European Union #,1971,3.916903442,Natural Gas,Production,
10392,Canada,1972,2.400300026,Natural Gas,Production,
10393,Mexico,1972,0.408528805,Natural Gas,Production,
10394,US,1972,21.08718109,Natural Gas,Production,
10395,Total North America,1972,23.89600992,Natural Gas,Production,
10396,Argentina,1972,0.216501847,Natural Gas,Production,
10397,Bolivia,1972,0.040193278,Natural Gas,Production,
10398,Brazil,1972,0.006313731,Natural Gas,Production,
10399,Colombia,1972,0.057187799,Natural Gas,Production,
10400,Peru,1972,0.016424101,Natural Gas,Production,
10401,Trinidad & Tobago,1972,0.069338702,Natural Gas,Production,
10402,Venezuela,1972,0.296782911,Natural Gas,Production,
10403,Other S. & Cent. America,1972,0.026965657,Natural Gas,Production,
10404,Total S. & Cent. America,1972,0.729708026,Natural Gas,Production,
10405,Denmark,1972,0,Natural Gas,Production,
10406,Germany,1972,0.637868702,Natural Gas,Production,
10407,Italy,1972,0.489143699,Natural Gas,Production,
10408,Netherlands,1972,1.851999998,Natural Gas,Production,
10409,Norway,1972,0,Natural Gas,Production,
10410,Poland,1972,0.201026693,Natural Gas,Production,
10411,Romania,1972,0.855673134,Natural Gas,Production,
10412,Ukraine,1972,0,Natural Gas,Production,
10413,United Kingdom,1972,0.945211947,Natural Gas,Production,
10414,Other Europe,1972,0.57685305,Natural Gas,Production,
10415,Total Europe,1972,5.557777225,Natural Gas,Production,
10416,Azerbaijan,1972,0,Natural Gas,Production,
10417,Kazakhstan,1972,0,Natural Gas,Production,
10418,Russian Federation,1972,0,Natural Gas,Production,
10419,Turkmenistan,1972,0,Natural Gas,Production,
10420,Uzbekistan,1972,0,Natural Gas,Production,
10421,Other CIS,1972,0,Natural Gas,Production,
10422,Total CIS,1972,7.549880505,Natural Gas,Production,
10423,Bahrain,1972,0.042579755,Natural Gas,Production,
10424,Iran,1972,0.410415649,Natural Gas,Production,
10425,Iraq,1972,0.031977002,Natural Gas,Production,
10426,Israel,1972,0.004255048,Natural Gas,Production,
10427,Kuwait,1972,0.085055403,Natural Gas,Production,
10428,Oman,1972,0,Natural Gas,Production,
10429,Qatar,1972,0.041097779,Natural Gas,Production,
10430,Saudi Arabia,1972,0.052291799,Natural Gas,Production,
10431,Syria,1972,0,Natural Gas,Production,
10432,United Arab Emirates,1972,0.052404299,Natural Gas,Production,
10433,Other Middle East,1972,0,Natural Gas,Production,
10434,Total Middle East,1972,0.720076735,Natural Gas,Production,
10435,Algeria,1972,0.117220953,Natural Gas,Production,
10436,Egypt,1972,0.00246015,Natural Gas,Production,
10437,Libya,1972,0.096854404,Natural Gas,Production,
10438,Nigeria,1972,0.0094221,Natural Gas,Production,
10439,Other Africa,1972,0.008527846,Natural Gas,Production,
10440,Total Africa,1972,0.234485453,Natural Gas,Production,
10441,Australia,1972,0.133467346,Natural Gas,Production,
10442,Bangladesh,1972,0.01604295,Natural Gas,Production,
10443,Brunei,1972,0.015637049,Natural Gas,Production,
10444,China,1972,0.175610617,Natural Gas,Production,
10445,India,1972,0.026481263,Natural Gas,Production,
10446,Indonesia,1972,0.040595941,Natural Gas,Production,
10447,Malaysia,1972,0.004177834,Natural Gas,Production,
10448,Myanmar,1972,0.000548235,Natural Gas,Production,
10449,Pakistan,1972,0.100761123,Natural Gas,Production,
10450,Thailand,1972,0,Natural Gas,Production,
10451,Vietnam,1972,0,Natural Gas,Production,
10452,Other Asia Pacific,1972,0.238434952,Natural Gas,Production,
10453,Total Asia Pacific,1972,0.751757311,Natural Gas,Production,
10454,Total World,1972,39.43969518,Natural Gas,Production,
10455,of which: OECD,1972,28.85441103,Natural Gas,Production,
10456,                 Non-OECD,1972,10.58528415,Natural Gas,Production,
10457,                 European Union #,1972,4.560281622,Natural Gas,Production,
10458,Canada,1973,2.571749926,Natural Gas,Production,
10459,Mexico,1973,0.44390139,Natural Gas,Production,
10460,US,1973,21.0680027,Natural Gas,Production,
10461,Total North America,1973,24.08365402,Natural Gas,Production,
10462,Argentina,1973,0.235757336,Natural Gas,Production,
10463,Bolivia,1973,0.061964639,Natural Gas,Production,
10464,Brazil,1973,0.00722612,Natural Gas,Production,
10465,Colombia,1973,0.059255999,Natural Gas,Production,
10466,Peru,1973,0.0160776,Natural Gas,Production,
10467,Trinidad & Tobago,1973,0.066592798,Natural Gas,Production,
10468,Venezuela,1973,0.365594029,Natural Gas,Production,
10469,Other S. & Cent. America,1973,0.020788093,Natural Gas,Production,
10470,Total S. & Cent. America,1973,0.833256614,Natural Gas,Production,
10471,Denmark,1973,0,Natural Gas,Production,
10472,Germany,1973,0.714148223,Natural Gas,Production,
10473,Italy,1973,0.528308988,Natural Gas,Production,
10474,Netherlands,1973,2.252000093,Natural Gas,Production,
10475,Norway,1973,0,Natural Gas,Production,
10476,Poland,1973,0.203931898,Natural Gas,Production,
10477,Romania,1973,0.905892372,Natural Gas,Production,
10478,Ukraine,1973,0,Natural Gas,Production,
10479,United Kingdom,1973,1.026268363,Natural Gas,Production,
10480,Other Europe,1973,0.622022475,Natural Gas,Production,
10481,Total Europe,1973,6.252572413,Natural Gas,Production,
10482,Azerbaijan,1973,0,Natural Gas,Production,
10483,Kazakhstan,1973,0,Natural Gas,Production,
10484,Russian Federation,1973,0,Natural Gas,Production,
10485,Turkmenistan,1973,0,Natural Gas,Production,
10486,Uzbekistan,1973,0,Natural Gas,Production,
10487,Other CIS,1973,0,Natural Gas,Production,
10488,Total CIS,1973,8.057979584,Natural Gas,Production,
10489,Bahrain,1973,0.060373656,Natural Gas,Production,
10490,Iran,1973,0.453532577,Natural Gas,Production,
10491,Iraq,1973,0.031122001,Natural Gas,Production,
10492,Israel,1973,0.00184695,Natural Gas,Production,
10493,Kuwait,1973,0.095281199,Natural Gas,Production,
10494,Oman,1973,0,Natural Gas,Production,
10495,Qatar,1973,0.0588708,Natural Gas,Production,
10496,Saudi Arabia,1973,0.061560001,Natural Gas,Production,
10497,Syria,1973,0,Natural Gas,Production,
10498,United Arab Emirates,1973,0.060916051,Natural Gas,Production,
10499,Other Middle East,1973,0,Natural Gas,Production,
10500,Total Middle East,1973,0.823503235,Natural Gas,Production,
10501,Algeria,1973,0.155578494,Natural Gas,Production,
10502,Egypt,1973,0.00197505,Natural Gas,Production,
10503,Libya,1973,0.1549602,Natural Gas,Production,
10504,Nigeria,1973,0.0144324,Natural Gas,Production,
10505,Other Africa,1973,0.027013599,Natural Gas,Production,
10506,Total Africa,1973,0.353959744,Natural Gas,Production,
10507,Australia,1973,0.169447675,Natural Gas,Production,
10508,Bangladesh,1973,0.02214135,Natural Gas,Production,
10509,Brunei,1973,0.068287052,Natural Gas,Production,
10510,China,1973,0.216973454,Natural Gas,Production,
10511,India,1973,0.026411962,Natural Gas,Production,
10512,Indonesia,1973,0.062921882,Natural Gas,Production,
10513,Malaysia,1973,0.004177834,Natural Gas,Production,
10514,Myanmar,1973,0.000663187,Natural Gas,Production,
10515,Pakistan,1973,0.115039617,Natural Gas,Production,
10516,Thailand,1973,0,Natural Gas,Production,
10517,Vietnam,1973,0,Natural Gas,Production,
10518,Other Asia Pacific,1973,0.246714477,Natural Gas,Production,
10519,Total Asia Pacific,1973,0.93277849,Natural Gas,Production,
10520,Total World,1973,41.3377041,Natural Gas,Production,
10521,of which: OECD,1973,29.7186383,Natural Gas,Production,
10522,                 Non-OECD,1973,11.61906579,Natural Gas,Production,
10523,                 European Union #,1973,5.16672387,Natural Gas,Production,
10524,Canada,1974,2.518394709,Natural Gas,Production,
10525,Mexico,1974,0.465343297,Natural Gas,Production,
10526,US,1974,20.14009857,Natural Gas,Production,
10527,Total North America,1974,23.12383658,Natural Gas,Production,
10528,Argentina,1974,0.25375247,Natural Gas,Production,
10529,Bolivia,1974,0.064853534,Natural Gas,Production,
10530,Brazil,1974,0.013904807,Natural Gas,Production,
10531,Colombia,1974,0.0616518,Natural Gas,Production,
10532,Peru,1974,0.0165627,Natural Gas,Production,
10533,Trinidad & Tobago,1974,0.060839102,Natural Gas,Production,
10534,Venezuela,1974,0.386373252,Natural Gas,Production,
10535,Other S. & Cent. America,1974,0.023764787,Natural Gas,Production,
10536,Total S. & Cent. America,1974,0.881702452,Natural Gas,Production,
10537,Denmark,1974,0,Natural Gas,Production,
10538,Germany,1974,0.741733193,Natural Gas,Production,
10539,Italy,1974,0.527344227,Natural Gas,Production,
10540,Netherlands,1974,2.670000076,Natural Gas,Production,
10541,Norway,1974,0,Natural Gas,Production,
10542,Poland,1974,0.197406903,Natural Gas,Production,
10543,Romania,1974,0.934977293,Natural Gas,Production,
10544,Ukraine,1974,0,Natural Gas,Production,
10545,United Kingdom,1974,1.237701774,Natural Gas,Production,
10546,Other Europe,1974,0.635764675,Natural Gas,Production,
10547,Total Europe,1974,6.944928141,Natural Gas,Production,
10548,Azerbaijan,1974,0,Natural Gas,Production,
10549,Kazakhstan,1974,0,Natural Gas,Production,
10550,Russian Federation,1974,0,Natural Gas,Production,
10551,Turkmenistan,1974,0,Natural Gas,Production,
10552,Uzbekistan,1974,0,Natural Gas,Production,
10553,Other CIS,1974,0,Natural Gas,Production,
10554,Total CIS,1974,8.88662529,Natural Gas,Production,
10555,Bahrain,1974,0.074441306,Natural Gas,Production,
10556,Iran,1974,0.47059232,Natural Gas,Production,
10557,Iraq,1974,0.028591201,Natural Gas,Production,
10558,Israel,1974,0.002257168,Natural Gas,Production,
10559,Kuwait,1974,0.100240201,Natural Gas,Production,
10560,Oman,1974,0,Natural Gas,Production,
10561,Qatar,1974,0.048363481,Natural Gas,Production,
10562,Saudi Arabia,1974,0.0779076,Natural Gas,Production,
10563,Syria,1974,0,Natural Gas,Production,
10564,United Arab Emirates,1974,0.0610038,Natural Gas,Production,
10565,Other Middle East,1974,0,Natural Gas,Production,
10566,Total Middle East,1974,0.863397077,Natural Gas,Production,
10567,Algeria,1974,0.179868147,Natural Gas,Production,
10568,Egypt,1974,0.002079,Natural Gas,Production,
10569,Libya,1974,0.139365003,Natural Gas,Production,
10570,Nigeria,1974,0.0134748,Natural Gas,Production,
10571,Other Africa,1974,0.034591038,Natural Gas,Production,
10572,Total Africa,1974,0.369377987,Natural Gas,Production,
10573,Australia,1974,0.193327159,Natural Gas,Production,
10574,Bangladesh,1974,0.024532201,Natural Gas,Production,
10575,Brunei,1974,0.148227304,Natural Gas,Production,
10576,China,1974,0.273212403,Natural Gas,Production,
10577,India,1974,0.029894287,Natural Gas,Production,
10578,Indonesia,1974,0.064968117,Natural Gas,Production,
10579,Malaysia,1974,0.008709345,Natural Gas,Production,
10580,Myanmar,1974,0.005933317,Natural Gas,Production,
10581,Pakistan,1974,0.131933346,Natural Gas,Production,
10582,Thailand,1974,0,Natural Gas,Production,
10583,Vietnam,1974,0,Natural Gas,Production,
10584,Other Asia Pacific,1974,0.259744344,Natural Gas,Production,
10585,Total Asia Pacific,1974,1.140481823,Natural Gas,Production,
10586,Total World,1974,42.21034935,Natural Gas,Production,
10587,of which: OECD,1974,29.44970083,Natural Gas,Production,
10588,                 Non-OECD,1974,12.76064852,Natural Gas,Production,
10589,                 European Union #,1974,5.642686917,Natural Gas,Production,
10590,Canada,1975,2.572435856,Natural Gas,Production,
10591,Mexico,1975,0.473005235,Natural Gas,Production,
10592,US,1975,18.64949226,Natural Gas,Production,
10593,Total North America,1975,21.69493335,Natural Gas,Production,
10594,Argentina,1975,0.269296914,Natural Gas,Production,
10595,Bolivia,1975,0.063932434,Natural Gas,Production,
10596,Brazil,1975,0.015145657,Natural Gas,Production,
10597,Colombia,1975,0.053696699,Natural Gas,Production,
10598,Peru,1975,0.020443499,Natural Gas,Production,
10599,Trinidad & Tobago,1975,0.055295099,Natural Gas,Production,
10600,Venezuela,1975,0.375783831,Natural Gas,Production,
10601,Other S. & Cent. America,1975,0.027288901,Natural Gas,Production,
10602,Total S. & Cent. America,1975,0.880883033,Natural Gas,Production,
10603,Denmark,1975,0,Natural Gas,Production,
10604,Germany,1975,0.688507199,Natural Gas,Production,
10605,Italy,1975,0.502625704,Natural Gas,Production,
10606,Netherlands,1975,2.89199996,Natural Gas,Production,
10607,Norway,1975,0,Natural Gas,Production,
10608,Poland,1975,0.203175902,Natural Gas,Production,
10609,Romania,1975,1.01564014,Natural Gas,Production,
10610,Ukraine,1975,0,Natural Gas,Production,
10611,United Kingdom,1975,1.288822651,Natural Gas,Production,
10612,Other Europe,1975,0.631996054,Natural Gas,Production,
10613,Total Europe,1975,7.22276761,Natural Gas,Production,
10614,Azerbaijan,1975,0,Natural Gas,Production,
10615,Kazakhstan,1975,0,Natural Gas,Production,
10616,Russian Federation,1975,0,Natural Gas,Production,
10617,Turkmenistan,1975,0,Natural Gas,Production,
10618,Uzbekistan,1975,0,Natural Gas,Production,
10619,Other CIS,1975,0,Natural Gas,Production,
10620,Total CIS,1975,9.864222527,Natural Gas,Production,
10621,Bahrain,1975,0.078335024,Natural Gas,Production,
10622,Iran,1975,0.49024269,Natural Gas,Production,
10623,Iraq,1975,0.044289,Natural Gas,Production,
10624,Israel,1975,0.002062701,Natural Gas,Production,
10625,Kuwait,1975,0.109850399,Natural Gas,Production,
10626,Oman,1975,0,Natural Gas,Production,
10627,Qatar,1975,0.07463178,Natural Gas,Production,
10628,Saudi Arabia,1975,0.092681997,Natural Gas,Production,
10629,Syria,1975,0,Natural Gas,Production,
10630,United Arab Emirates,1975,0.058265999,Natural Gas,Production,
10631,Other Middle East,1975,0,Natural Gas,Production,
10632,Total Middle East,1975,0.950359591,Natural Gas,Production,
10633,Algeria,1975,0.221482798,Natural Gas,Production,
10634,Egypt,1975,0.0017325,Natural Gas,Production,
10635,Libya,1975,0.158517003,Natural Gas,Production,
10636,Nigeria,1975,0.0120726,Natural Gas,Production,
10637,Other Africa,1975,0.021387235,Natural Gas,Production,
10638,Total Africa,1975,0.415192137,Natural Gas,Production,
10639,Australia,1975,0.207611889,Natural Gas,Production,
10640,Bangladesh,1975,0.016250851,Natural Gas,Production,
10641,Brunei,1975,0.1943838,Natural Gas,Production,
10642,China,1975,0.321106195,Natural Gas,Production,
10643,India,1975,0.038270924,Natural Gas,Production,
10644,Indonesia,1975,0.085138202,Natural Gas,Production,
10645,Malaysia,1975,0.010498547,Natural Gas,Production,
10646,Myanmar,1975,0.0063666,Natural Gas,Production,
10647,Pakistan,1975,0.137073606,Natural Gas,Production,
10648,Thailand,1975,0,Natural Gas,Production,
10649,Vietnam,1975,0,Natural Gas,Production,
10650,Other Asia Pacific,1975,0.255286674,Natural Gas,Production,
10651,Total Asia Pacific,1975,1.271987288,Natural Gas,Production,
10652,Total World,1975,42.30034554,Natural Gas,Production,
10653,of which: OECD,1975,28.22505055,Natural Gas,Production,
10654,                 Non-OECD,1975,14.07529499,Natural Gas,Production,
10655,                 European Union #,1975,5.869909734,Natural Gas,Production,
10656,Canada,1976,2.595067263,Natural Gas,Production,
10657,Mexico,1976,0.463877738,Natural Gas,Production,
10658,US,1976,18.49754143,Natural Gas,Production,
10659,Total North America,1976,21.55648643,Natural Gas,Production,
10660,Argentina,1976,0.256763339,Natural Gas,Production,
10661,Bolivia,1976,0.065900229,Natural Gas,Production,
10662,Brazil,1976,0.017444877,Natural Gas,Production,
10663,Colombia,1976,0.0545328,Natural Gas,Production,
10664,Peru,1976,0.022175999,Natural Gas,Production,
10665,Trinidad & Tobago,1976,0.062237699,Natural Gas,Production,
10666,Venezuela,1976,0.465853691,Natural Gas,Production,
10667,Other S. & Cent. America,1976,0.042433378,Natural Gas,Production,
10668,Total S. & Cent. America,1976,0.987342012,Natural Gas,Production,
10669,Denmark,1976,0,Natural Gas,Production,
10670,Germany,1976,0.709955096,Natural Gas,Production,
10671,Italy,1976,0.540103495,Natural Gas,Production,
10672,Netherlands,1976,3.089999914,Natural Gas,Production,
10673,Norway,1976,0,Natural Gas,Production,
10674,Poland,1976,0.221156999,Natural Gas,Production,
10675,Romania,1976,1.107842922,Natural Gas,Production,
10676,Ukraine,1976,0,Natural Gas,Production,
10677,United Kingdom,1976,1.364854932,Natural Gas,Production,
10678,Other Europe,1976,0.65044955,Natural Gas,Production,
10679,Total Europe,1976,7.684362909,Natural Gas,Production,
10680,Azerbaijan,1976,0,Natural Gas,Production,
10681,Kazakhstan,1976,0,Natural Gas,Production,
10682,Russian Federation,1976,0,Natural Gas,Production,
10683,Turkmenistan,1976,0,Natural Gas,Production,
10684,Uzbekistan,1976,0,Natural Gas,Production,
10685,Other CIS,1976,0,Natural Gas,Production,
10686,Total CIS,1976,10.94470024,Natural Gas,Production,
10687,Bahrain,1976,0.082103148,Natural Gas,Production,
10688,Iran,1976,0.499455482,Natural Gas,Production,
10689,Iraq,1976,0.061730999,Natural Gas,Production,
10690,Israel,1976,0.001987237,Natural Gas,Production,
10691,Kuwait,1976,0.132148802,Natural Gas,Production,
10692,Oman,1976,0,Natural Gas,Production,
10693,Qatar,1976,0.040762439,Natural Gas,Production,
10694,Saudi Arabia,1976,0.100052103,Natural Gas,Production,
10695,Syria,1976,0.0011304,Natural Gas,Production,
10696,United Arab Emirates,1976,0.068094,Natural Gas,Production,
10697,Other Middle East,1976,0,Natural Gas,Production,
10698,Total Middle East,1976,0.987464611,Natural Gas,Production,
10699,Algeria,1976,0.278967142,Natural Gas,Production,
10700,Egypt,1976,0.013167,Natural Gas,Production,
10701,Libya,1976,0.163441807,Natural Gas,Production,
10702,Nigeria,1976,0.0224181,Natural Gas,Production,
10703,Other Africa,1976,0.016221634,Natural Gas,Production,
10704,Total Africa,1976,0.494215684,Natural Gas,Production,
10705,Australia,1976,0.245077983,Natural Gas,Production,
10706,Bangladesh,1976,0.0247401,Natural Gas,Production,
10707,Brunei,1976,0.256370395,Natural Gas,Production,
10708,China,1976,0.366460174,Natural Gas,Production,
10709,India,1976,0.046491638,Natural Gas,Production,
10710,Indonesia,1976,0.085868999,Natural Gas,Production,
10711,Malaysia,1976,0.012498364,Natural Gas,Production,
10712,Myanmar,1976,0.0088425,Natural Gas,Production,
10713,Pakistan,1976,0.139779001,Natural Gas,Production,
10714,Thailand,1976,0,Natural Gas,Production,
10715,Vietnam,1976,0,Natural Gas,Production,
10716,Other Asia Pacific,1976,0.283684403,Natural Gas,Production,
10717,Total Asia Pacific,1976,1.469813557,Natural Gas,Production,
10718,Total World,1976,44.12438544,Natural Gas,Production,
10719,of which: OECD,1976,28.5247592,Natural Gas,Production,
10720,                 Non-OECD,1976,15.59962624,Natural Gas,Production,
10721,                 European Union #,1976,6.244836596,Natural Gas,Production,
10722,Canada,1977,2.726054907,Natural Gas,Production,
10723,Mexico,1977,0.491949946,Natural Gas,Production,
10724,US,1977,18.57825661,Natural Gas,Production,
10725,Total North America,1977,21.79626146,Natural Gas,Production,
10726,Argentina,1977,0.265025705,Natural Gas,Production,
10727,Bolivia,1977,0.069542751,Natural Gas,Production,
10728,Brazil,1977,0.021714857,Natural Gas,Production,
10729,Colombia,1977,0.061829101,Natural Gas,Production,
10730,Peru,1977,0.022020075,Natural Gas,Production,
10731,Trinidad & Tobago,1977,0.0731574,Natural Gas,Production,
10732,Venezuela,1977,0.508511007,Natural Gas,Production,
10733,Other S. & Cent. America,1977,0.045843587,Natural Gas,Production,
10734,Total S. & Cent. America,1977,1.067644483,Natural Gas,Production,
10735,Denmark,1977,0,Natural Gas,Production,
10736,Germany,1977,0.705837607,Natural Gas,Production,
10737,Italy,1977,0.473803192,Natural Gas,Production,
10738,Netherlands,1977,3.099999905,Natural Gas,Production,
10739,Norway,1977,0.094859578,Natural Gas,Production,
10740,Poland,1977,0.232779607,Natural Gas,Production,
10741,Romania,1977,1.173225284,Natural Gas,Production,
10742,Ukraine,1977,0,Natural Gas,Production,
10743,United Kingdom,1977,1.426065922,Natural Gas,Production,
10744,Other Europe,1977,0.70196476,Natural Gas,Production,
10745,Total Europe,1977,7.908535855,Natural Gas,Production,
10746,Azerbaijan,1977,0,Natural Gas,Production,
10747,Kazakhstan,1977,0,Natural Gas,Production,
10748,Russian Federation,1977,0,Natural Gas,Production,
10749,Turkmenistan,1977,0,Natural Gas,Production,
10750,Uzbekistan,1977,0,Natural Gas,Production,
10751,Other CIS,1977,0,Natural Gas,Production,
10752,Total CIS,1977,11.79892159,Natural Gas,Production,
10753,Bahrain,1977,0.089053236,Natural Gas,Production,
10754,Iran,1977,0.507182419,Natural Gas,Production,
10755,Iraq,1977,0.040287599,Natural Gas,Production,
10756,Israel,1977,0.001974659,Natural Gas,Production,
10757,Kuwait,1977,0.144084603,Natural Gas,Production,
10758,Oman,1977,0,Natural Gas,Production,
10759,Qatar,1977,0.057790261,Natural Gas,Production,
10760,Saudi Arabia,1977,0.1408014,Natural Gas,Production,
10761,Syria,1977,0.0012582,Natural Gas,Production,
10762,United Arab Emirates,1977,0.136889994,Natural Gas,Production,
10763,Other Middle East,1977,0,Natural Gas,Production,
10764,Total Middle East,1977,1.119322371,Natural Gas,Production,
10765,Algeria,1977,0.266995579,Natural Gas,Production,
10766,Egypt,1977,0.015938999,Natural Gas,Production,
10767,Libya,1977,0.1727442,Natural Gas,Production,
10768,Nigeria,1977,0.0295146,Natural Gas,Production,
10769,Other Africa,1977,0.018723282,Natural Gas,Production,
10770,Total Africa,1977,0.50391666,Natural Gas,Production,
10771,Australia,1977,0.279966384,Natural Gas,Production,
10772,Bangladesh,1977,0.0292446,Natural Gas,Production,
10773,Brunei,1977,0.294208199,Natural Gas,Production,
10774,China,1977,0.439752221,Natural Gas,Production,
10775,India,1977,0.049653448,Natural Gas,Production,
10776,Indonesia,1977,0.206816405,Natural Gas,Production,
10777,Malaysia,1977,0.011436326,Natural Gas,Production,
10778,Myanmar,1977,0.0081351,Natural Gas,Production,
10779,Pakistan,1977,0.152704805,Natural Gas,Production,
10780,Thailand,1977,0,Natural Gas,Production,
10781,Vietnam,1977,0,Natural Gas,Production,
10782,Other Asia Pacific,1977,0.320436426,Natural Gas,Production,
10783,Total Asia Pacific,1977,1.792353914,Natural Gas,Production,
10784,Total World,1977,45.98695633,Natural Gas,Production,
10785,of which: OECD,1977,28.99895975,Natural Gas,Production,
10786,                 Non-OECD,1977,16.98799657,Natural Gas,Production,
10787,                 European Union #,1977,6.307221368,Natural Gas,Production,
10788,Canada,1978,2.630728722,Natural Gas,Production,
10789,Mexico,1978,0.61581111,Natural Gas,Production,
10790,US,1978,18.50219536,Natural Gas,Production,
10791,Total North America,1978,21.74873519,Natural Gas,Production,
10792,Argentina,1978,0.273428112,Natural Gas,Production,
10793,Bolivia,1978,0.068537913,Natural Gas,Production,
10794,Brazil,1978,0.028576022,Natural Gas,Production,
10795,Colombia,1978,0.082109697,Natural Gas,Production,
10796,Peru,1978,0.0230076,Natural Gas,Production,
10797,Trinidad & Tobago,1978,0.087336898,Natural Gas,Production,
10798,Venezuela,1978,0.513126373,Natural Gas,Production,
10799,Other S. & Cent. America,1978,0.052252919,Natural Gas,Production,
10800,Total S. & Cent. America,1978,1.128375535,Natural Gas,Production,
10801,Denmark,1978,0,Natural Gas,Production,
10802,Germany,1978,0.729764998,Natural Gas,Production,
10803,Italy,1978,0.473237991,Natural Gas,Production,
10804,Netherlands,1978,2.838000059,Natural Gas,Production,
10805,Norway,1978,0.507392645,Natural Gas,Production,
10806,Poland,1978,0.249606907,Natural Gas,Production,
10807,Romania,1978,1.181242824,Natural Gas,Production,
10808,Ukraine,1978,0,Natural Gas,Production,
10809,United Kingdom,1978,1.365608573,Natural Gas,Production,
10810,Other Europe,1978,0.744246819,Natural Gas,Production,
10811,Total Europe,1978,8.089100817,Natural Gas,Production,
10812,Azerbaijan,1978,0,Natural Gas,Production,
10813,Kazakhstan,1978,0,Natural Gas,Production,
